1,10 Years Of Hits,,1,2
2,A Hundred Miles or More,A Collection,1,2
3,A Momentary Lapse Of Reason,,1,2
4,A Place On Earth,The Greatest Hits - CD 1/2,1,2
5,All Things Bright And Beautiful,Deluxe,1,2
6,American Heart,Single,1,2
7,American Pie,,1,2
8,Aqualung,,1,2
9,At Budokan,,1,2
10,Babel,,1,2
11,Barton Hollow,,1,2
12,Big Jet Plane,[EP],1,2
13,Bright Morning Stars,,1,2
14,Bring Me Home,,1,2
15,California,,1,2
16,Celtica 1,,1,2
17,Ceremonial and war dances,,1,2
18,CMT Crossroads,,1,2
19,Continued Silence,[EP],1,2
20,Dixie Chicks,,1,2
21,Drunken Lullabies,,1,2
22,Earl Klugh,,1,2
23,Early Alchemy,,1,2
24,Electric Music For The Mind And Body,,1,2
25,Extended Play,,1,2
26,Fallen,,1,2
27,Fields of Fire,,1,2
28,Finally We Are No One,,1,2
29,Five Minutes With Arctic Monkeys,,1,2
30,Flying Cowboys,,1,2
31,Food In The Belly,,1,2
32,Footrot Flats,A Dog's Tale,1,2
33,From Detroit to St. Germain,,1,2
34,Fundamental,,1,2
35,Gale Force,,1,2
36,Greatest Hits,,1,2
37,His Young Heart,,1,2
38,Hoea,,1,2
39,I Hope You Dance,,1,2
40,I'm in the Mood for Dancing,,1,2
41,Lights of the Pacific,The Very Best Of,1,2
42,Lily,,1,2
43,Listen,The Very Best of Herbs,1,2
44,Live In Texas,7-Jun-06,1,2
45,Live!,Not Enough Shouting!,1,2
46,Love This Giant,,1,2
47,Metals,,1,2
48,Music for Lovers,,1,2
49,Oceania,,1,2
50,One More from the Road,[MG],1,2
51,Primitive Man,Bonus Tracks,1,2
52,Running on Empty,,1,2
53,Sarah Slean,,1,2
54,Say You Will,,1,2
55,Shamrock Diaries,,1,2
56,Shona Laing,,1,2
57,Slow Train Coming,,1,2
58,Smilewound,,1,2
59,Songs from the Front Lawn,,1,2
60,Soul Divas,,1,2
61,Spanish Train & Other Stories,,1,2
62,Strange Mercy,,1,2
63,The Best of Ario Guthrie,,1,2
64,The Best of Joe Cocker,Mushroom,1,2
65,The Best of Nancy Wilson,,1,2
66,The Collection,,1,2
67,The Cross of Changes,,1,2
68,The Definitive Collection,,1,2
69,The Division Bell,,1,2
70,Three Decades Of Males,,1,2
71,Til We Outnumber 'Em,Woody Guthrie,1,2
72,To Love Somebody,1969,1,2
73,Here Comes the Sun,1971,1,2
74,Under The Covers,,1,2
75,Walk Like An Egyption,The Best Of,1,2
76,Watermark,,1,2
77,Zombie,UK Single,1,2
78,Acoustic,,2,2
79,Alternative,,2,2
80,Rock,,2,2
81,Post-Grunge,,2,2
82,Metal,,2,2
83,Nu-Metal,,2,2
84,Gothic,,2,2
85,Avante-Garde,,2,2
86,Bluegrass,,2,2
87,Blues,,2,2
88,Celtic,,2,2
89,Country,,2,2
90,Dance,,2,2
91,Easy Listening - Female,,2,2
92,Easy Listening - Male,,2,2
93,Easy Listening - Group,,2,2
94,Folk,,2,2
95,Cont,,2,2
96,Goa,,2,2
97,Indie,,2,2
98,Brit,,2,2
99,Pop,,2,2
100,Jazz,,2,2
101,Maori,,2,2
102,Ethnic,,2,2
103,New Age,,2,2
104,Mellow,,2,2
105,Native American,,2,2
106,New Wave,,2,2
107,Post-Rock,,2,2
108,Progressive Rock,,2,2
109,Psychdelic,,2,2
110,R&B,,2,2
111,Reggae,,2,2
112,Soul,,2,2
113,US Folk,,2,2
114,Vocal,,2,2
115,Woman,,2,2
116,World,,2,2
117,As Good As It Gets,,1,2
118,UK,,2,2
